username,content,likes,retweets,replies
vaibhavchellani,"Best apps will be chain-abstracted

I will die on this hill, gg 
@enzo_gte",1,0,0
vaibhavchellani,"At this point, it seems widely agreed that chain-abstracted accounts are a massive leap forward to improve the crypto user experience.

Various teams are building towards this future atm and I have therefore made an attempt at breaking down the vast solution space into two mental",35,20,19
vaibhavchellani,"In essence, this approach can reduce latency significantly as it bypasses transactions on the source network and bridging latency completely and instead starts with the intended action.

Additionally, solvers benefit from the guarantees provided by resource locks ( avoiding",0,1,1
vaibhavchellani,"While we at SOCKET are not building accounts, we however function as the enabler of both these approaches, developers can now build application-gateways on SOCKET that give their SCW whatever flavour they would like, RCA or IF.

If you're building a chain abstracted account",0,0,0
vaibhavchellani,"being heads down and making progress isnt that great for my twitter presence

its so weird",17,0,3
vaibhavchellani,"New jump-off point unlocked!

iBTC on @BungeeExchange

Swap your iBTC to other chains seamlessly",8,1,2
vaibhavchellani,hoping this is how my latest article finds you,31,0,3
vaibhavchellani,I know im buying,11,0,2
vaibhavchellani,Ppl like the balls,12,0,2
vaibhavchellani,"Wallets were dumb so far, just an interface between the private key and the user

7702 changes that

now applications will be built ""inside the wallet"" 

very cool 
@rathfinance",30,0,2
vaibhavchellani,"Powered by 
@SOCKETProtocol
 and 
@useenclave",19,2,1
vaibhavchellani,"Often when you think its a skill issue 

Its actually a shell issue 

Lesson learnt",7,1,1
vaibhavchellani,"you can now send USDC on 
@monad_xyz
 using fragmented USDC across other blockchains! (we use funds on 
@arbitrum
 and 
@Optimism
 for this demo)

slowly but steadily, we will abstract all blockchains away

coming soon to a wallet near you",35,12,5
vaibhavchellani,"if you want to get up to speed on what we’ve been building at SOCKET over the past year - watch this

we’ve shipped a lot of individual components over time and it’s now all coming together with the launch of our chain abstraction protocol end of this month

build fat apps",26,9,1
vaibhavchellani,"Small work free money strategy on 
@BungeeExchange
 + 
@SonicLabs
 Airdrop

 How?
When you swap into scUSD via Bungee you earn 13% apy / 0.25% additional rewards",17,3,2
vaibhavchellani,"Thanks to 
@SonicLabs
 for the experience with the new 
@BungeeExchange
 on the 
@SOCKETProtocol
.

I studied in more detail the information about what the new Bungee Auto is (Thanks to Bungee for helping with this issue), and now we get the following picture:

You choose any token",36,8,8
vaibhavchellani,"index super high on having fun

rest follows",20,2,4
vaibhavchellani,"also fun lies within you, you can make the most seemingly boring things quite fun actually",3,0,0
vaibhavchellani,"L1 are mainframes
L2 are cloud servers 

Chain-Abstraction is cloud computing",12,2,1
vaibhavchellani,"SONICHAT Ep 04: Big Trades, Big Rewards???
@litocoen
 from 
@BungeeExchange
, 
@thousandbtc
 & 
@DarrenSRS
 are going live to reveal an epic competition you won’t want to miss.

 Exclusive reveal incoming!
 21 March | 1:30PM UTC",42,18,14
vaibhavchellani,"At this moment, 
@SonicLabs
 has become the №1 DeFi opportunity network, offering users solid and safe strategies.

Today, I want to share one of my personal favorites that makes my Sonic DeFi experience top-tier

- Firstly, if you don't have $USDC you can borrow it using",102,24,15
vaibhavchellani,"This week, while doing some research on yield bearing platforms, I stumbled upon 
@Rings_Protocol
.

Learn how Rings Protocol stands out 

What is Rings?
Rings is a yield-generating liquidity layer designed to maximize returns on ETH, BTC, and stablecoins. It provides deep",63,12,4
vaibhavchellani,"Swap into scUSD on Sonic and Earn 0.25% more!

To be eligible: HODL, Stake, or use it in DeFi across 
@pendle_fi
, 
@SiloFinance
, & 
@spectra_finance
.

Last campaign was huge, so we've added more rewards!

What will you do with your scUSD?",103,40,15
vaibhavchellani,"its a new world

this is what the chain-abstraction thinking enables",14,1,1
vaibhavchellani,"I somewhat feel the market is down because all the usual buyers are busy playing 
@cryptothegame_
 

how do I get in?",6,0,1
vaibhavchellani,"on point

https://decentralised.co/p/make-revenue-great-again…",4,0,0
